country,code,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14656,84272,91600,91600,106256,106256,153888,183200,293120,329760,384571.4205,413884.7238,490797.7046,688594.2728,706735.9773,838550.8296,1006916.534,1091158.818,1281865.114,1223390.846,941231.9773,1670396.844,1893931.409,1531165.693,1637244.658,1915676.543,2124526.705,1984225.381,2386745.667,2155415.112,2234903.935,1757018.428,1979372.528,2095539.372,2520091.418,2822407.026,3501888.889,3134071.922,3114168.775,2857083.896,2764887.89,2602407.59,2426486.156,1381521.838,1333837.109,1282457.405,1231139.652,1165134.923,1084437.075,1029422.192,809568.7373,768195.2538,812074.374,1064074.85,1205390.592,908479.6207,1320250.12,1643258.316,2268337.713,4198329.639,6760313.492,8452222.284,12226017.38,10742056.72,9036782.29,8449877.916,9019514.264,8653350.647,8971071.536,9438789.182
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328,7328,18320,128240,296784,348080,432352,692496,626544,743792,461664,153888,120912,483648,926992,703488,1014928,296784,403040,373728,414032,501968,663184,839056,1505904,1201792,1443616,2022528,2279008,2462208,2081152,2015200,2172752,2550144,2678384,3070432,3242640,3740944,4349168,5638896,5287152,4341840,4590992,4946400,5715840,6488944,7580816,5166240,7335328,7302352,7624784,7818976,7873936,8049808,7437920,7320672,8976800,5510656,4283216,2513504,2333968,1923600,2084816,2015200,1542544,1751392,2982496,3019136,3220656,3748272,4290544,4162304,4250240,3894832,3924144,4371152,4374816,4594656,5235856,4920752,4909760,5485008,4612976,4532368,4651350.38,4569963.592
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,7328,18320,18320,21984,25648,25648,14656,29312,32976,40304,58624,73280,80608,84272,98928,113584,120912,139232,131904,51296,69616,32976,161216,238160,311440,498304,468992,498304,615552,762112,743792,802416,908672,3784912,4132992,3891168,4001088,4154976,4609312,4997696,5539968,5217536,5657016.932,6151240.91,6055920.099,5661010.093,5419154.091,5643044.398,6588533.024,8420861.569,8431587.403,9050236.104,11262967.89,15058959.8,18649531.22,28322639.8,38277400.92,31876660.36,32001207.09,39131070.46,41844913.14,62455266.48,45545551.53,66416467.44,46341982.08,39173029.23,52503909.14,70946530.22,72609068.43,76080388.2,83883502.19,83708041.09,79808266,76736640.21,78805351.89,79881770.87,81942440.4,86146683.9,94981961.04,96786119.98,87004345.51,106620830.2,91667923.44,87442682.76,83780673.62,89406721.23,91048193.45,87853102.49,106473190,100201161.5,108399973.2,109031800.8,120185864.1,117814037.7,119806926.2,128110001.1,132434630.3,143188095.1,150704024.8,147578632.8,147222896.8,155725261.1
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406704,406704,406704,410368,406704,425024,454336,465328,490976,512960,523952,523952,531280,534944,560592,575248,545936,538608,538608,516624,516624,490976,487312,476320,461664,465328,468992,482251.2681,470909.1669
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186864,249152,311440,274800,348080,414032,501968,619216,593568,618591.966,548950.5795,453706.8925,1179126.65,1149723.386,1222914.239,1186155.375,1552466.227,991814.7956,1669538.663,2783092.737,3577917.183,3405382.753,4500532.202,4873663.83,4866397.563,4408811.284,3280042.308,3527510.968,5399808.095,5489191.014,5334351.636,5266774.017,4635178.573,5100534.826,4985846.943,4676114.242,4633839.503,5786028.763,5049305.734,4922749.742,5088701.166,5062893.058,5165043.978,5748383.379,3865595.547,10948303.24,10424825.05,7347849.051,7269605.774,9129777.791,9515060.921,9671518.875,12597545.05,8988367.853,18701931.74,19006429.59,22102407.09,24976104.38,25486004.45,27565503.37,28864472.37,30329701.95,33800564.08,33228501.33,44248864.97,33979024.57,34110947.83,34111985.48,34537201.15
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51296,51296,54960,65952,65952,65952,69616,69616,76944,80608,87936,95264,95264,102592,120912,128240,142896,150224,150224,146560,150224,142896,142896,117248,139232,153888,153888,155232.7486,156349.2768
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21984,29312,29312,36640,47632,102592,84272,91600,150224,348080,564256,989280,1256752,461664,425024,373728,329760,428688,707152,403040,465328,490976,406704,142896,106256,293120,84272,146560,249152,249152,274800,285792,285792,282128,267472,263808,271136,267472,274800,293120,307776,318768,329760,344416,348080,370064,403040,421360,428688,443344,468992,479984,509296,523952,512960,523952,523952,527616,545936,556928,561794.7091,565835.4781
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084544,890352,1755056,1370336,937984,1384992,1553536,1993216,2264352,2304656,2081152,2348624,2920208,2070160,2491520,2813952,2861584,3795904,3982768,6254448,6254448,7617456,5935680,8907184,9944096,9478768,10145616,8672688,6939616,4986704,2231376,2520832,3726288,5891712,5539968,7298688,8445520,10959024,11237488,11259472,13373600,12739728,13131776,12769040,12845984,13102464,13234368,14241968,14000144,15099344,16715168,16352432,17382016,15868784,13945184,13483520,14080752,13956176,13670384,13707024,14520432,17396672,15370480,29927552,34969216,36101392,35141424,36757248,39567536,44305088,47617344,44202496,48948799.48,48764499.99,51126710.22,53640125.07,50032660.01,55670041.28,58804849.56,63072666.66,65475981.61,69009217.37,77248869.9,82648001.24,88844309.64,90061084.51,93967978.29,95469386.24,94831553.08,99665693.82,100650886.4,102476823.2,110510913,108519999.4,101819689,103206562.2,104978862.3,106282985.3,100366200.6,103933940.3,114611063.8,121129113.9,116802018.4,111890017.8,116845003.3,121016713.6,117564655.5,122010049.7,127598452.6,134643656.8,137558052.2,139354451.3,146510299.6,141716804.3,133310609.8,124382206.8,134620660.1,157033649.3,161424779.4,174617505.9,174232910.8,188041184.3,178867384.3,186671795.5,190236886,191715192.2,192275373.5,194431154.1,199859275,200038831.9,199552006,195531411.9
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6916395.305,7202053.554,7431628.746,7806070.822,8376831.157,8913068.572,9456692.296,9988416.301,10450566.55,10750399.85,11200663.82,11780621.91,12510774.3,13172688.18,13739695.31,14274527.59,15013524.42,15593266.73,16127067.73,16687726.57,16827165.05,17487920.22,17169887.73,17495007.2,17750028.47,17912157.4,19308577.2,19361226.13,19280902.33,19798599.85,19365344.79,18115809.73,18818575.9,5859851.648,2573608.381,2714748.43,3432275.217,2592741.625,3266240.851,3396664.722,3048121.72,3491407,3532701,3076822.639,3455560,3691197,4376169,4401590,5100172.425,5574790,4363332,4252750,4968878,5748252,5535004,5559887.415,4834370.022,5173412.207,5005612.499,5571094.245
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719370.8975,618560.82,645552.5649,708942.2688,679087.7631,660275.3349,592387.0068,553944.2187,682359.4897,634510.4875,830405.1207,928761.4032,808320.9658,783783.0159,869461.3576,788077.1572,570711.8178,1219127.144,636759.7995,542288.6925,568871.4715,585434.5877,557624.9112,623468.41,320424.7289,800141.6492,936531.754,179536,447008,611888,648528,487312,531280,538608,648528,659520,707152,725472,758448,806080,809744,2377936,2407248,2436560,2561136,2616096,2718688,2715024,2821280,2656400,2627088,2506176,2498848,1348352,861040,872032,897680,883024,890740.2953,897147.0409
